COM_NAME,supply 2022,Com_Code
Zobuba,124,ps/01/010005
Rummana,194,ps/01/010010
At Tayba,118,ps/01/010020
As Saaida,3,ps/01/010040
tiinnik,69,ps/01/010015
Anin,225,ps/01/010045
Asileh Al harethiyeh,611,ps/01/010035
Um ar Reihan,82,ps/01/010085
Dhaher Al maleh,33,ps/01/010115
Tura ASh Sharqiya ,38,ps/01/010150
Nazlat ash Sheikh Zeid,138,ps/01/010165
Tura al Gharbiya ,172,ps/01/010145
At Tarem,40,ps/01/010170
,,
Umm Dar,96,ps/01/010225
Khirbet al Muntar ash Sharqiya ,6,ps/01/010205
Zabda,175,ps/01/010245
Qeiqis,36,ps/01/010245_1
kherbit Masoud ,6,ps/01/010245_2
Al-khuljan,86,ps/01/010230
Bartaa,354,
Kherbet Bartah ,12,ps/01/010120_2
Khirbit Abdallah Yunis ,7,ps/01/010105
Bartea ash Sharqiya  ,379,ps/01/010120
KHerbet sheik saeed ,15,ps/01/010120_1
Al Jalama,171,ps/01/010030
Aba and (wad ad Dabi),43,ps/01/010195
Beit Qad southern ,116,ps/01/010140
Beit Qad Northen ,157,ps/01/010110
Deir Abu Daif ,531,ps/01/010215
Arabbuna,77,ps/01/010025
Jalbun,212,ps/01/010190
Faqoa,332,ps/01/010060
Arrana,182,ps/01/010050
Deir Ghazaleh,85,ps/01/010055
Deir Ghazaleh,676,ps/01/010055
Al zababdeh,135,ps/01/010435
Raba,124,ps/01/010405
Tanneen,5,ps/01/010325
Telfit,14,ps/01/010385
Jalqamus,83,ps/01/010305
Al Mutilla,10,ps/01/010315
Umm at Tut,38,ps/01/010295
Qabatiya ,775,ps/01/010340
Aqqaba,255,
Al jammal,72,ps/01/010030
Bargin,226,ps/01/010220
Al Mughayyir ,103,ps/01/010310
Methylone,563,ps/01/010520
Siris,408,ps/01/010600
Al-jadida,403,ps/01/010565
Al Jarba,3,ps/01/010430
Misliya ,195,ps/01/010415
Sir,58,ps/01/010495
Sanur,341,ps/01/010510
Jab,705,ps/01/010605
Anza,214,ps/01/010505
Sanur,557,ps/01/010510
Ajja,681,ps/01/010500
Az Zawiya,111,ps/01/010460
Al foundoqumeya,471,ps/01/010615
Al Silat adaher,819,ps/01/010625
Al-Mansura ,25,ps/01/010410
Bir al Basha,202,ps/01/010320
Mirka ,258,ps/01/010395
wadi Du oq,20,ps/01/010400
Arraba ,1344,ps/01/010370
Fahme Aljadeda,45,ps/01/010401
Al Yamun,2540,ps/01/010080
,,
Al Hashimiya,160,ps/01/010155
,,
Al araqa,163,ps/01/010125
,,
Khirbet Suruj,3,ps/01/010070
,,
Al Kufr Qud,95,ps/01/010210
Kfeiret,461,ps/01/010275
,,
Kufr Dan ,709,ps/01/010095
,,
jenin,3953,ps/01/010180
,,
,,
Yabad,1200,ps/01/010265
Imreiha,37,ps/01/010285
An Nazla ash Sharqiya,182,
An nazla alwusta,49,
Firasin ,3,ps/01/010286
Mothalath Ash ShuhadaVillage ,963,
JalbunVillage,125,ps/01/010190
Kufr Rai,699,ps/01/010465
,,
Rama ,101,
