COM_NAME,supply 2022,Com_Code
Al Naqura,423.09,ps/15/150785
Bizzariya,661.98,ps/15/150660
Beit Iba,966.62,ps/15/150860
Qusin,533.35,ps/15/150855
Beit Wazan,310.84,ps/15/150875
Tell,"1,223.22",ps/15/150990
sarra ,801.90,Sarra
Al Luban,382.09,ps/15/151405
Ammuriy,16.91,ps/15/151435
Qaryut,239.55,ps/15/151410
,,
Jalud,69.5,ps/15/151420
,,
Huwwara,899.99,ps/15/151185
zatara ,10.48,ps/15/151285
Beita ,1819.55,ps/15/151215
,,
Einabus,390.71,
salim ,813.67,ps/15/150955
Awarta,1061.42,ps/15/151135
,,
Azmut,446.76,ps/15/150910
Deir al Hatab   ,368.49,ps/15/150935
Esawiah,316.00,
Qabalan,867.85,ps/15/151335
,,
 Jammain and Zeita village ,"1,481.00",ps/15/151245
Yatma,354.00,ps/15/151325
Deir Shraf,32.61,ps/15/150810
 Nablus,18063.9,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Zawata,28.06,
 Al Bathan ,77.76,
Talluza,68.53,
Asira,216.10,
Rujeeb,122.88,
Awarta ,145.34,
Osareen,42.29,
Aqraba,206.52,
Yanun,1.96,
Duma,55.09,
Majdal Bani Fadil,59.89,
Qusra ,444.63,
,,
Jurish,31.74,
Talfit,73.98,
Beit Hasan,776.00,
Beit Dajan,118.85,
Beit furik,359.15,
Kafr Qallil,83.11,
odala,42.97,
Burin,78.04,
Madama,57.40,
Asira Al Qibliya,241.81,
Urif,99.45,
