COM_NAME,supply 2022,Com_Code
Al Naqura,423,ps/15/150785
Bizzariya,662,ps/15/150660
Beit Iba,967,ps/15/150860
Qusin,533,ps/15/150855
Beit Wazan,311,ps/15/150875
Tell,1223,ps/15/150990
sarra ,802,Sarra
Al Luban,382,ps/15/151405
Ammuriy,17,ps/15/151435
Qaryut,240,ps/15/151410
,,
Jalud,70,ps/15/151420
,,
Huwwara,900,ps/15/151185
zatara ,10,ps/15/151285
Beita ,1820,ps/15/151215
,,
Einabus,391,
salim ,814,ps/15/150955
Awarta,1061,ps/15/151135
,,
Azmut,447,ps/15/150910
Deir al Hatab   ,368,ps/15/150935
Esawiah,316,
Qabalan,868,ps/15/151335
,,
 Jammain and Zeita village ,1481,ps/15/151245
Yatma,354,ps/15/151325
Deir Shraf,33,ps/15/150810
 Nablus,18064,ps/15/150920
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Zawata,28,ps/15/150835
 Al Bathan ,78,ps/15/150805
Talluza,69,ps/15/150775
Asira,216,ps/15/150820
Rujeeb,123,ps/15/151010
Awarta ,145,ps/15/151135
Osareen,42,ps/15/151265
Aqraba,207,ps/15/151270
Yanun,2,ps/15/151200
Duma,55,ps/15/151445
Majdal Bani Fadil,60,ps/15/151385
Qusra ,445,ps/15/151365
,,
Jurish,32,ps/15/151345
Talfit,74,ps/15/151375
Beit Hasan,776,ps/15/150865
Beit Dajan,119,ps/15/151000
Beit furik,359,ps/15/151090
Kafr Qallil,83,ps/15/151025
odala,43,ps/15/151180
Burin,78,ps/15/151080
Madama,57,ps/15/151050
Asira Al Qibliya,242,ps/15/151095
Urif,99,ps/15/151160
