COM_NAME,supply 2022,Com_Code
Qaffin,968.93,ps/10/100290
Dhaher Al-Abed ,59.59,ps/01/010240
Akkaba,30.48,ps/10/100250
Izbat Shufa,364.10,ps/10/100725
Kafr abbush,554.22,ps/10/100915
Farun,659.05,ps/10/100735
Nazlat Isa,414.00,ps/10/100330
Baq al sharqia,542.00,ps/10/100350
An Nazla Algharbiya,"1,309.00",ps/10/100380
Iktaba,"1,219.00",ps/10/100595
Deir al Ghusun,"1,692.00",ps/10/100530
Atil,1609.22,ps/10/100480
,,
ILLar,707.93,ps/10/100475
,,
Seida,358.64,ps/10/100440
,,
Zeita ,358.64,ps/10/100425
,,
 Kafar Jamal,472.00,ps/10/100900
Kafar Sur ,529.00,ps/10/100845
Anabta &,106.00,ps/10/100665
Kafr Rumman,346.30,ps/10/100665_1
Rameen ,1748.7,ps/10/100730
,,
"Tulkarem  ,Tulkarem Camp and Nour shames camp",227.03,ps/10/100645
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Bal'a,"2,147.00",ps/10/100570
,,
Shufa,"1,437.00",ps/10/100760
Izbat al Khila ,149.00,ps/10/100685
Al Hafas a ,225.00,ps/10/100715
Kafr al Labad ,"5,054.00",ps/10/100690
Kafr Zibad,"1,298.00",ps/10/100895
