FID,Shape *,COM_NUMBER,GOV_CODE,NOTES,MASTERCOM,COM_NAME_1,SP_CODE_1,T_POP202_1,Com_Code,COM_NAME_2,Gap
0,Point,452660_2,ps/45,تابعة إلى عرب الرشايدة,452660,الرواعين - بيت لحم,450101,0,ps/45/452660_2,Ar Rawa'in-Bethlehem,0
1,Point,502620_1,ps/50,تابعة إلى سعير,502620,الدوارة,500018,0,ps/50/502620_1,Ad Duwwara,0
2,Point,502778_1,ps/50,تابعة إلى البويرة(البقعة,502778,الباقة,500001,0,ps/50/502778_1,Al Baqa'a,0
3,Point,503305,ps/50, ,503305,المقعورة,450347,51,ps/50/503305,Khallet Athaba',0
4,Point,502540_2,ps/50,تابعة إلى بيت أمر,502540,خربة المنطرة,500016,0,ps/50/502540_2,Khirbet al Mantara,0
5,Point,452520,ps/45, ,452520,خربة تقوع,450076,143,ps/45/452520,Khirbet Tuqu',0
6,Point,452390,ps/45, ,452390,خلة البلوطة,450080,28,ps/45/452390,Khallet al Balluta,0
7,Point,503120_1,ps/50,تابعة إلى يطا,503120,جورة جمال,500009,0,ps/50/503120_1,Jourat al Jamal,0
8,Point,503350_4,ps/50,تابعة إلى خربة الفخيت,503350,حلاوة,450347,0,ps/50/503350_4,Halaweh,0
9,Point,452335,ps/45, ,452335,بيت تعمر,450069,1727,ps/45/452335,Beit Ta'mir,0
10,Point,452175,ps/45, ,452175,بتير,450077,5081,ps/45/452175,Battir,0
11,Point,452200,ps/45, ,452200,الخاص,450065,431,ps/45/452200,Al Khas,0
12,Point,502620_2,ps/50,تابعة إلى سعير,502620,العديسة,500018,0,ps/50/502620_2,Al 'Uddeisa,0
13,Point,502620_3,ps/50,تابعة إلى سعير,502620,راس الطويل,500018,0,ps/50/502620_3,Ras at Tawil,0
14,Point,452190,ps/45, ,452190,خلة النعمان,450390,121,ps/45/452190,Khallet an Nu'man,0
15,Point,452400_1,ps/45,تابعة إلى وادي رحال,452400,خربة النحلة,450087,0,ps/45/452400_1,Khirbet an Nahla,0
16,Point,452285_2,ps/45,تابعة إلى الشواورة,452285,فخت الجول,450067,0,ps/45/452285_2,Fakht al Jul,0
17,Point,502780_1,ps/50,تابعة إلى الخليل,502780,واد الغروس,500001,0,ps/50/502780_1,Wadi al Ghrous,0
18,Point,452375,ps/45, ,452375,الفريديس,450316,1185,ps/45/452375,Al Fureidis,0
19,Point,452385_3,ps/45,تابعة إلى جناتا,452385,آلعقاب,450316,0,ps/45/452385_3,Al 'Iqab,0
20,Point,502680,ps/50, ,502680,بيت عينون,500018,2115,ps/50/502680,Beit 'Einun,0
21,Point,502681,ps/50, ,502681,قلاع زيتا,500018,1191,ps/50/502681,Qla'a Zeita,0
22,Point,503320_1,ps/50,تابعة إلى السموع,503320,وادي العماير,500004,0,ps/50/503320_1,Wadi al Amayer,0
23,Point,502620_4,ps/50,تابعة إلى سعير,502620,القانوب,500018,0,ps/50/502620_4,Al Ganoub,0
24,Point,502815_1,ps/50,تابعة إلى بني نعيم,502815,الجلاجل,500023,0,ps/50/502815_1,Al Jalajel,0
25,Point,502450_1,ps/50,تابعة إلى صوريف,502450,دير موسى,500029,0,ps/50/502450_1,Dir Musa,0
26,Point,452285,ps/45,تشمل الخشنة وفخت الجول و را,452285,الشواورة,450067,4502,ps/45/452285,Ash Shawawra,0
27,Point,452285_3,ps/45,تابعة إلى الشواورة,452285,قرشان الشواورة,450067,0,ps/45/452285_3,Kurshan al shawawra,0
28,Point,503320_2,ps/50,تابعة إلى السموع,503320,السيميا,500004,0,ps/50/503320_2,Al Simiya,0
29,Point,502640_1,ps/50,تابعة إلى ترقوميا,502640,خلة عثمان,500034,0,ps/50/502640_1,Khalet Othman,0
30,Point,502685_11,ps/50,تابعة إلى إذنا,502685,درايشه,500035,0,ps/50/502685_11,Daraesheh,0
